Bairro;Popula;Popula_1;Popula_12;Nomero;area_km2
Benedito Bentes;88084;42312;45772;4;24,600429548699999
Mutange;2632;1248;1384;27;0,535900670690000
Ouro Preto;6224;2960;3264;28;0,533817483270000
Barro Duro;14431;6758;7673;2;2,386463715700000
Paju;3711;1675;2036;29;0,697774163162000
Pescaria;2784;1412;1372;30;3,927515082930000
Petropolis;23675;11252;12423;31;4,707462002740000
Prado;17763;7954;9809;39;1,593965512100000
Pinheiro;19062;8484;10578;32;1,971952072630000
Pitanguinha;4789;2211;2578;33;1,012017816650000
Riacho Doce;5218;2512;2706;40;10,043481843900000
Santo Amaro;1927;908;1019;44;0,259342869477000
Santa Lmcia;26061;12321;13740;43;3,998320696110000
Tabuleiro do Martins;64755;30314;34441;48;8,582841872860000
Santos Dumont;20471;9728;10743;45;7,100088803080000
S0o Jorge;8445;4051;4394;46;2,233776786100000
Trapiche da Barra;25303;11859;13444;49;1,767828496890000
Vergel do Lago;31538;14751;16787;50;1,398422636410000
Bom Parto;12841;6081;6760;5;0,559335952615000
Po6o;20776;9131;11645;34;1,864407604750000
Cana5;5025;2393;2632;6;0,568761252600000
Ponta da Terra;8403;3737;4666;35;0,424419976818000
Rio Novo;7310;3552;3758;41;2,557293382410000
Centro;2818;1299;1513;7;1,654925628670000
Ch1 da Jaqueira;16617;7908;8709;8;1,285884704910000
Ch0 de Bebedouro;10541;5003;5538;9;0,713939710939000
Ponta Grossa;21796;9960;11836;36;1,281384083290000
Cidade Universit;71441;34801;36640;10;19,465162353699998
Clima Bom;55952;26676;29276;11;4,655465614530000
Cruz das Almas;11708;5505;6203;12;2,260585434560000
Santa Am lia;10649;5023;5626;42;2,349205928550000
Farol;16859;7525;9334;13;2,992227568740000
Serraria;22675;10136;12539;47;7,542464971880000
Feitosa;30336;14163;16173;14;2,612032068490000
Fern3o Velho;5752;2736;3016;15;2,660517158630000
Gar6a Torta;1635;803;832;16;1,968340317110000
Gruta de Lourdes;14283;6395;7888;17;3,198092556270000
Guaxuma;2481;1220;1261;18;4,938269664230000
Antares;17165;8203;8962;1;5,985277102540000
Ponta Verde;24402;10550;13852;37;1,397144643780000
Ipioca;7580;3719;3861;19;19,228220482600001
Jacarecica;5742;2721;3021;20;10,060605247500000
Jacintinho;86514;40990;45524;21;3,595192541060000
Jaragui;3211;1479;1732;22;1,362046852140000
Bebedouro;10103;4624;5479;3;2,249750752020000
Jardim Petr;5081;2388;2693;23;2,683050971740000
Pontal da Barra;2478;1183;1295;38;2,627493854380000
Jati;38027;16639;21388;24;2,925341956850000
Levada;10882;5073;5809;25;0,874194961237000
Mangabeiras;4166;1807;2359;26;0,872218887795000
