objectid;área;nome;regiao_adm;area_plane;codbairro;codra;codbnum;link;rp;cod_rp;codbairro_;st_areasha;st_perimet;area_km2
325;1705684,503906250000000;Paquetá;PAQUETA;1;013;21;13;Paqueta&area=013;Centro;1.1;13;1705689,117826539790258;24841,459984438439278;1,705689117830000
326;4056402,766113280318677;Freguesia (Ilha);ILHA DO GOVERNADOR;3;098;20;98;Freguesia (Ilha)          &area=98;Ilha do Governador;3.7;98;4056413,758011440280825;18303,621385447724606;4,056413758010000
327;978046,542480470030569;Bancários;ILHA DO GOVERNADOR;3;097;20;97;Bancários                 &area=97;Ilha do Governador;3.7;97;978049,182262859190814;7758,791894868748386;0,978049182263000
328;18957422,151855468750000;Galeão;ILHA DO GOVERNADOR;3;104;20;104;Galeão                    &area=104;Ilha do Governador;3.7;104;18957473,378097731620073;21510,088396041181113;18,957473378100001
329;1672545,750976560171694;Tauá;ILHA DO GOVERNADOR;3;101;20;101;Tauá                      &area=101;Ilha do Governador;3.7;101;1672550,278130770893767;8246,120719684367941;1,672550278130000
330;1186409,439453130122274;Portuguesa;ILHA DO GOVERNADOR;3;103;20;103;Portuguesa                &area=103;Ilha do Governador;3.7;103;1186412,649807245470583;5101,529772323834550;1,186412649810000
331;520557,466796880005859;Moneró;ILHA DO GOVERNADOR;3;102;20;102;Moneró                    &area=102;Ilha do Governador;3.7;102;520558,878021699085366;3538,290173484380830;0,520558878022000
333;3385308,031250000000000;Vigário Geral;VIGARIO GERAL;3;048;31;48;Vigário Geral             &area=48;Penha;3.5;48;3385317,181361395865679;8077,093078324371163;3,385317181360000
334;490102,430175779969431;Cocotá;ILHA DO GOVERNADOR;3;096;20;96;Cocotá                    &area=96;Ilha do Governador;3.7;96;490103,738674535008613;4799,078116562456671;0,490103738675000
335;1973968,447265630122274;Jardim América;VIGARIO GERAL;3;049;31;49;Jardim América            &area=49;Penha;3.5;49;1973973,763106783619151;6129,785808948033264;1,973973763110000
