OBJECTID_1;OBJECTID_2;OBJECTID;NM_BAIRROS;SHAPE_LENG;COD_MUN;EIXO_DESEN;COD_BR_1;POPULAÇÃO;ID;Metro;Shape_Le_1;Shape_Le_2;Shape_Area;area_km2
1;1;1,000000000000000;Pituaçu;10642,389241999999285;2740;EXPANSÃO LITORÂNEA/SSA-LF;0124;12320,000000000000000;0;1,000000000000000;10642,388832700000421;10642,425555600000735;5893559,871299999766052;5,893559871300000
2;2;2,000000000000000;Patamares;10481,739491800000906;2740;EXPANSÃO LITORÂNEA/SSA-LF;0116;3389,000000000000000;0;1,000000000000000;10481,739902900000743;10481,775902999999744;4620837,101160000078380;4,620837101160000
3;3;3,000000000000000;Piatã;14851,518895100000009;2740;EXPANSÃO LITORÂNEA/SSA-LF;0122;10663,000000000000000;0;1,000000000000000;14851,519823799999358;14851,570737699999881;6180611,495310000143945;6,180611495310000
4;4;4,000000000000000;Boca do Rio;9967,080112219999137;2740;EXPANSÃO LITORÂNEA/SSA-LF;0023;40208,000000000000000;0;0,000000000000000;9967,078194769999754;9967,112402360000488;2687959,837880000006407;2,687959837880000
5;5;5,000000000000000;Jardim Armação;4529,444961469999726;2740;EXPANSÃO LITORÂNEA/SSA-LF;0085;2033,000000000000000;0;0,000000000000000;4529,443560140000045;4529,459196779999729;1028979,948519999976270;1,028979948520000
6;6;6,000000000000000;Lapinha;2788,368768620000083;2740;ÁREA CENTRAL DE SALVADOR;0090;5795,000000000000000;14;0,000000000000000;2788,368663369999922;2788,378264250000029;326007,460582999978215;0,326007460583000
7;7;7,000000000000000;Nazaré;6684,300131379999584;2740;ÁREA CENTRAL DE SALVADOR;0105;13552,000000000000000;0;0,000000000000000;6684,300158910000391;6684,323510739999620;1113908,675439999904484;1,113908675440000
8;8;8,000000000000000;Centro;5683,402771220000432;2740;ÁREA CENTRAL DE SALVADOR;0050;17195,000000000000000;0;0,000000000000000;5683,401450289999957;5683,420612859999892;853828,147624999983236;0,853828147625000
9;9;9,000000000000000;Tororó;4117,568281369999568;2740;ÁREA CENTRAL DE SALVADOR;0154;3662,000000000000000;0;0,000000000000000;4117,568007849999958;4117,582112170000073;439406,752750999992713;0,439406752751000
10;10;10,000000000000000;Barris;4153,079588110000259;2740;ÁREA CENTRAL DE SALVADOR;0017;4859,000000000000000;0;0,000000000000000;4153,079013800000212;4153,092997220000143;445585,410933999984991;0,445585410934000
11;11;11,000000000000000;Garcia;5069,053622929999619;2740;ÁREA CENTRAL DE SALVADOR;0072;14316,000000000000000;0;0,000000000000000;5069,053458630000023;5069,070754330000455;792753,416346000041813;0,792753416346000
12;12;12,000000000000000;Macaúbas;2555,508953999999903;2740;ÁREA CENTRAL DE SALVADOR;0094;7079,000000000000000;0;0,000000000000000;2555,509572850000040;2555,518154779999804;296844,374881999974605;0,296844374882000
